"Index","AUROC","District","Month_of_issue","Category","Skill"
"SPI ON",0.39,"Guija",8,"Leve","Poor"
"SPI ND",0.61,"Guija",8,"Leve","Moderate"
"SPI DJ",0.68,"Guija",8,"Leve","Moderate"
"SPI JF",0.57,"Guija",8,"Leve","Borderline"
"SPI OND",0.67,"Guija",8,"Leve","Moderate"
"SPI NDJ",0.72,"Guija",8,"Leve","Moderate"
"SPI DJF",0.62,"Guija",8,"Leve","Moderate"
"SPI ON",0.42,"Guija",9,"Severo","Poor"
"SPI ND",0.61,"Guija",9,"Severo","Moderate"
"SPI DJ",0.68,"Guija",9,"Severo","Moderate"
"SPI JF",0.53,"Guija",9,"Severo","Borderline"
"SPI FM",0.45,"Guija",9,"Severo","Poor"
"SPI OND",0.86,"Guija",9,"Severo","Good"
"SPI NDJ",0.86,"Guija",9,"Severo","Good"
"SPI DJF",0.76,"Guija",9,"Severo","Moderate"
"SPI JFM",0.38,"Guija",9,"Severo","Poor"
"SPI ON",0.48,"Guija",9,"Moderado","Poor"
"SPI ND",0.57,"Guija",9,"Moderado","Borderline"
"SPI DJ",0.65,"Guija",9,"Moderado","Moderate"
"SPI JF",0.51,"Guija",9,"Moderado","Borderline"
"SPI FM",0.42,"Guija",9,"Moderado","Poor"
"SPI OND",0.8,"Guija",9,"Moderado","Moderate"
"SPI NDJ",0.85,"Guija",9,"Moderado","Good"
"SPI DJF",0.69,"Guija",9,"Moderado","Moderate"
"SPI JFM",0.46,"Guija",9,"Moderado","Poor"
"SPI ON",0.42,"Guija",9,"Leve","Poor"
"SPI ND",0.69,"Guija",9,"Leve","Moderate"
"SPI DJ",0.77,"Guija",9,"Leve","Moderate"
"SPI JF",0.48,"Guija",9,"Leve","Poor"
"SPI FM",0.43,"Guija",9,"Leve","Poor"
"SPI OND",0.75,"Guija",9,"Leve","Moderate"
"SPI NDJ",0.71,"Guija",9,"Leve","Moderate"
"SPI DJF",0.71,"Guija",9,"Leve","Moderate"
"SPI JFM",0.62,"Guija",9,"Leve","Moderate"
"SPI ON",0.55,"Guija",10,"Severo","Borderline"
"SPI ND",0.55,"Guija",10,"Severo","Borderline"
"SPI DJ",0.78,"Guija",10,"Severo","Moderate"
"SPI JF",0.77,"Guija",10,"Severo","Moderate"
"SPI FM",0.5,"Guija",10,"Severo","Poor"
"SPI OND",0.6,"Guija",10,"Severo","Borderline"
"SPI NDJ",0.68,"Guija",10,"Severo","Moderate"
"SPI DJF",0.52,"Guija",10,"Severo","Borderline"
"SPI JFM",0.65,"Guija",10,"Severo","Moderate"
"SPI ON",0.47,"Guija",10,"Moderado","Poor"
"SPI ND",0.53,"Guija",10,"Moderado","Borderline"
"SPI DJ",0.74,"Guija",10,"Moderado","Moderate"
"SPI JF",0.75,"Guija",10,"Moderado","Moderate"
"SPI FM",0.53,"Guija",10,"Moderado","Borderline"
"SPI OND",0.6,"Guija",10,"Moderado","Borderline"
"SPI NDJ",0.8,"Guija",10,"Moderado","Moderate"
"SPI DJF",0.58,"Guija",10,"Moderado","Borderline"
"SPI JFM",0.66,"Guija",10,"Moderado","Moderate"
"SPI ON",0.47,"Guija",10,"Leve","Poor"
"SPI ND",0.61,"Guija",10,"Leve","Moderate"
"SPI DJ",0.69,"Guija",10,"Leve","Moderate"
"SPI JF",0.72,"Guija",10,"Leve","Moderate"
"SPI FM",0.55,"Guija",10,"Leve","Borderline"
"SPI OND",0.6,"Guija",10,"Leve","Borderline"
"SPI NDJ",0.71,"Guija",10,"Leve","Moderate"
"SPI DJF",0.62,"Guija",10,"Leve","Moderate"
"SPI JFM",0.81,"Guija",10,"Leve","Good"
"SPI ND",0.51,"Guija",11,"Severo","Borderline"
"SPI DJ",0.68,"Guija",11,"Severo","Moderate"
"SPI JF",0.61,"Guija",11,"Severo","Moderate"
"SPI FM",0.52,"Guija",11,"Severo","Borderline"
"SPI NDJ",0.79,"Guija",11,"Severo","Moderate"
"SPI DJF",0.61,"Guija",11,"Severo","Moderate"
"SPI JFM",0.43,"Guija",11,"Severo","Poor"
"SPI ND",0.56,"Guija",11,"Moderado","Borderline"
"SPI DJ",0.65,"Guija",11,"Moderado","Moderate"
"SPI JF",0.66,"Guija",11,"Moderado","Moderate"
"SPI FM",0.49,"Guija",11,"Moderado","Poor"
"SPI NDJ",0.87,"Guija",11,"Moderado","Good"
"SPI DJF",0.66,"Guija",11,"Moderado","Moderate"
"SPI JFM",0.66,"Guija",11,"Moderado","Moderate"
"SPI ND",0.67,"Guija",11,"Leve","Moderate"
"SPI DJ",0.7,"Guija",11,"Leve","Moderate"
"SPI JF",0.63,"Guija",11,"Leve","Moderate"
"SPI FM",0.52,"Guija",11,"Leve","Borderline"
"SPI NDJ",0.84,"Guija",11,"Leve","Good"
"SPI DJF",0.68,"Guija",11,"Leve","Moderate"
"SPI JFM",0.63,"Guija",11,"Leve","Moderate"
"SPI DJ",0.83,"Guija",12,"Severo","Good"
"SPI JF",0.7,"Guija",12,"Severo","Moderate"
"SPI FM",0.55,"Guija",12,"Severo","Borderline"
"SPI DJF",0.6,"Guija",12,"Severo","Borderline"
"SPI JFM",0.55,"Guija",12,"Severo","Borderline"
"SPI DJ",0.72,"Guija",12,"Moderado","Moderate"
"SPI JF",0.73,"Guija",12,"Moderado","Moderate"
"SPI FM",0.53,"Guija",12,"Moderado","Borderline"
"SPI DJF",0.6,"Guija",12,"Moderado","Borderline"
"SPI JFM",0.57,"Guija",12,"Moderado","Borderline"
"SPI DJ",0.68,"Guija",12,"Leve","Moderate"
"SPI JF",0.66,"Guija",12,"Leve","Moderate"
"SPI FM",0.61,"Guija",12,"Leve","Moderate"
"SPI DJF",0.63,"Guija",12,"Leve","Moderate"
"SPI JFM",0.68,"Guija",12,"Leve","Moderate"
"SPI JF",0.6,"Guija",1,"Severo","Borderline"
"SPI FM",0.43,"Guija",1,"Severo","Poor"
"SPI JFM",0.56,"Guija",1,"Severo","Borderline"
"SPI JF",0.65,"Guija",1,"Moderado","Moderate"
"SPI FM",0.41,"Guija",1,"Moderado","Poor"
"SPI JFM",0.43,"Guija",1,"Moderado","Poor"
"SPI JF",0.64,"Guija",1,"Leve","Moderate"
"SPI FM",0.36,"Guija",1,"Leve","Poor"
"SPI JFM",0.54,"Guija",1,"Leve","Borderline"
"SPI FM",0.68,"Guija",2,"Severo","Moderate"
"SPI FM",0.67,"Guija",2,"Moderado","Moderate"
"SPI FM",0.75,"Guija",2,"Leve","Moderate"
