"Index","AUROC","District","Month_of_issue","Category","Skill"
"SPI DJ",0.77,"Guija","09","Leve","Moderate"
"SPI JF",0.48,"Guija","09","Leve","Poor"
"SPI FM",0.43,"Guija","09","Leve","Poor"
"SPI OND",0.75,"Guija","09","Leve","Moderate"
"SPI NDJ",0.71,"Guija","09","Leve","Moderate"
"SPI DJF",0.71,"Guija","09","Leve","Moderate"
"SPI JFM",0.62,"Guija","09","Leve","Moderate"
"SPI ON",0.55,"Guija","10","Severo","Borderline"
"SPI ND",0.55,"Guija","10","Severo","Borderline"
"SPI DJ",0.78,"Guija","10","Severo","Moderate"
"SPI JF",0.77,"Guija","10","Severo","Moderate"
"SPI FM",0.5,"Guija","10","Severo","Poor"
"SPI OND",0.6,"Guija","10","Severo","Borderline"
"SPI NDJ",0.68,"Guija","10","Severo","Moderate"
"SPI DJF",0.52,"Guija","10","Severo","Borderline"
"SPI JFM",0.65,"Guija","10","Severo","Moderate"
"SPI ON",0.47,"Guija","10","Moderado","Poor"
"SPI ND",0.53,"Guija","10","Moderado","Borderline"
"SPI DJ",0.74,"Guija","10","Moderado","Moderate"
"SPI JF",0.75,"Guija","10","Moderado","Moderate"
"SPI FM",0.53,"Guija","10","Moderado","Borderline"
"SPI OND",0.6,"Guija","10","Moderado","Borderline"
"SPI NDJ",0.8,"Guija","10","Moderado","Moderate"
"SPI DJF",0.58,"Guija","10","Moderado","Borderline"
"SPI JFM",0.66,"Guija","10","Moderado","Moderate"
"SPI ON",0.47,"Guija","10","Leve","Poor"
"SPI ND",0.61,"Guija","10","Leve","Moderate"
"SPI DJ",0.69,"Guija","10","Leve","Moderate"
"SPI JF",0.72,"Guija","10","Leve","Moderate"
"SPI FM",0.55,"Guija","10","Leve","Borderline"
"SPI OND",0.6,"Guija","10","Leve","Borderline"
"SPI NDJ",0.71,"Guija","10","Leve","Moderate"
"SPI DJF",0.62,"Guija","10","Leve","Moderate"
"SPI JFM",0.81,"Guija","10","Leve","Good"
"SPI ND",0.51,"Guija","11","Severo","Borderline"
"SPI DJ",0.68,"Guija","11","Severo","Moderate"
"SPI JF",0.61,"Guija","11","Severo","Moderate"
"SPI FM",0.52,"Guija","11","Severo","Borderline"
"SPI NDJ",0.79,"Guija","11","Severo","Moderate"
"SPI DJF",0.61,"Guija","11","Severo","Moderate"
"SPI JFM",0.43,"Guija","11","Severo","Poor"
"SPI ND",0.56,"Guija","11","Moderado","Borderline"
"SPI DJ",0.65,"Guija","11","Moderado","Moderate"
"SPI JF",0.66,"Guija","11","Moderado","Moderate"
"SPI FM",0.49,"Guija","11","Moderado","Poor"
"SPI NDJ",0.87,"Guija","11","Moderado","Good"
"SPI DJF",0.66,"Guija","11","Moderado","Moderate"
"SPI JFM",0.66,"Guija","11","Moderado","Moderate"
"SPI ND",0.67,"Guija","11","Leve","Moderate"
"SPI DJ",0.7,"Guija","11","Leve","Moderate"
"SPI JF",0.63,"Guija","11","Leve","Moderate"
"SPI FM",0.52,"Guija","11","Leve","Borderline"
"SPI NDJ",0.84,"Guija","11","Leve","Good"
"SPI DJF",0.68,"Guija","11","Leve","Moderate"
"SPI JFM",0.63,"Guija","11","Leve","Moderate"
"SPI DJ",0.83,"Guija","12","Severo","Good"
"SPI JF",0.7,"Guija","12","Severo","Moderate"
"SPI FM",0.55,"Guija","12","Severo","Borderline"
"SPI DJF",0.6,"Guija","12","Severo","Borderline"
"SPI JFM",0.55,"Guija","12","Severo","Borderline"
"SPI DJ",0.72,"Guija","12","Moderado","Moderate"
"SPI JF",0.73,"Guija","12","Moderado","Moderate"
"SPI FM",0.53,"Guija","12","Moderado","Borderline"
"SPI DJF",0.6,"Guija","12","Moderado","Borderline"
"SPI JFM",0.57,"Guija","12","Moderado","Borderline"
"SPI DJ",0.68,"Guija","12","Leve","Moderate"
"SPI JF",0.66,"Guija","12","Leve","Moderate"
"SPI FM",0.61,"Guija","12","Leve","Moderate"
"SPI DJF",0.63,"Guija","12","Leve","Moderate"
"SPI JFM",0.68,"Guija","12","Leve","Moderate"
"SPI JF",0.6,"Guija","01","Severo","Borderline"
"SPI FM",0.43,"Guija","01","Severo","Poor"
"SPI JFM",0.56,"Guija","01","Severo","Borderline"
"SPI JF",0.65,"Guija","01","Moderado","Moderate"
"SPI FM",0.41,"Guija","01","Moderado","Poor"
"SPI JFM",0.43,"Guija","01","Moderado","Poor"
"SPI JF",0.64,"Guija","01","Leve","Moderate"
"SPI FM",0.36,"Guija","01","Leve","Poor"
"SPI JFM",0.54,"Guija","01","Leve","Borderline"
"SPI FM",0.68,"Guija","02","Severo","Moderate"
"SPI FM",0.67,"Guija","02","Moderado","Moderate"
"SPI FM",0.75,"Guija","02","Leve","Moderate"
"SPI ON",0.56,"Changara","05","Severo","Borderline"
"SPI ON",0.51,"Changara","05","Moderado","Borderline"
"SPI ON",0.43,"Changara","05","Leve","Poor"
"SPI ON",0.51,"Changara","06","Severo","Borderline"
"SPI ND",0.36,"Changara","06","Severo","Poor"
"SPI OND",0.4,"Changara","06","Severo","Poor"
"SPI ON",0.49,"Changara","06","Moderado","Poor"
"SPI ND",0.4,"Changara","06","Moderado","Poor"
"SPI OND",0.37,"Changara","06","Moderado","Poor"
"SPI ON",0.49,"Changara","06","Leve","Poor"
"SPI ND",0.41,"Changara","06","Leve","Poor"
"SPI OND",0.47,"Changara","06","Leve","Poor"
"SPI ON",0.48,"Changara","07","Severo","Poor"
"SPI ND",0.44,"Changara","07","Severo","Poor"
"SPI DJ",0.59,"Changara","07","Severo","Borderline"
"SPI OND",0.42,"Changara","07","Severo","Poor"
"SPI NDJ",0.74,"Changara","07","Severo","Moderate"
"SPI ON",0.46,"Changara","07","Moderado","Poor"
"SPI ND",0.47,"Changara","07","Moderado","Poor"
"SPI DJ",0.69,"Changara","07","Moderado","Moderate"
"SPI OND",0.48,"Changara","07","Moderado","Poor"
"SPI NDJ",0.83,"Changara","07","Moderado","Good"
"SPI ON",0.5,"Changara","07","Leve","Poor"
"SPI ND",0.53,"Changara","07","Leve","Borderline"
"SPI DJ",0.81,"Changara","07","Leve","Good"
"SPI OND",0.53,"Changara","07","Leve","Borderline"
"SPI NDJ",0.75,"Changara","07","Leve","Moderate"
"SPI ON",0.42,"Changara","08","Severo","Poor"
"SPI ND",0.43,"Changara","08","Severo","Poor"
"SPI DJ",0.23,"Changara","08","Severo","Poor"
"SPI JF",0.84,"Changara","08","Severo","Good"
"SPI OND",0.55,"Changara","08","Severo","Borderline"
"SPI NDJ",0.41,"Changara","08","Severo","Poor"
"SPI DJF",0.82,"Changara","08","Severo","Good"
"SPI ON",0.31,"Changara","08","Moderado","Poor"
"SPI ND",0.52,"Changara","08","Moderado","Borderline"
"SPI DJ",0.2,"Changara","08","Moderado","Poor"
"SPI JF",0.85,"Changara","08","Moderado","Good"
"SPI OND",0.58,"Changara","08","Moderado","Borderline"
"SPI NDJ",0.38,"Changara","08","Moderado","Poor"
"SPI DJF",0.82,"Changara","08","Moderado","Good"
"SPI ON",0.37,"Changara","08","Leve","Poor"
"SPI ND",0.45,"Changara","08","Leve","Poor"
"SPI DJ",0.25,"Changara","08","Leve","Poor"
"SPI JF",0.7,"Changara","08","Leve","Moderate"
"SPI OND",0.48,"Changara","08","Leve","Poor"
"SPI NDJ",0.49,"Changara","08","Leve","Poor"
"SPI DJF",0.79,"Changara","08","Leve","Moderate"
"SPI ON",0.47,"Changara","09","Severo","Poor"
"SPI ND",0.61,"Changara","09","Severo","Moderate"
"SPI DJ",0.8,"Changara","09","Severo","Moderate"
"SPI JF",0.59,"Changara","09","Severo","Borderline"
"SPI FM",0.18,"Changara","09","Severo","Poor"
"SPI OND",0.56,"Changara","09","Severo","Borderline"
"SPI NDJ",0.68,"Changara","09","Severo","Moderate"
"SPI DJF",0.67,"Changara","09","Severo","Moderate"
"SPI JFM",0.51,"Changara","09","Severo","Borderline"
"SPI ON",0.5,"Changara","09","Moderado","Poor"
"SPI ND",0.47,"Changara","09","Moderado","Poor"
"SPI DJ",0.81,"Changara","09","Moderado","Good"
"SPI JF",0.58,"Changara","09","Moderado","Borderline"
"SPI FM",0.34,"Changara","09","Moderado","Poor"
"SPI OND",0.44,"Changara","09","Moderado","Poor"
"SPI NDJ",0.72,"Changara","09","Moderado","Moderate"
"SPI DJF",0.66,"Changara","09","Moderado","Moderate"
"SPI JFM",0.47,"Changara","09","Moderado","Poor"
"SPI ON",0.55,"Changara","09","Leve","Borderline"
"SPI ND",0.47,"Changara","09","Leve","Poor"
"SPI DJ",0.88,"Changara","09","Leve","Good"
"SPI JF",0.58,"Changara","09","Leve","Borderline"
"SPI FM",0.33,"Changara","09","Leve","Poor"
"SPI OND",0.47,"Changara","09","Leve","Poor"
